stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
1,28105z,Baselga Del Bondone,,46.078325,11.047354,10110,2
2,28105x,Baselga Del Bondone,,46.078582,11.047538,10110,1
3,27105c,Belvedere,,46.044406,11.105338,10110,
4,22220z,Lamar Ponte Avisio,,46.134621,11.110910,10110,2
5,28060z,Sp 85 Bivio Sopramonte,,46.085226,11.069310,10110,2
7,24405z,Maso Bolleri,,46.102486,11.124171,10110,2
8,24405x,Maso Bolleri,,46.102235,11.123937,10110,2
9,25205x,Borino,,46.067116,11.165636,10110,2
10,28205z,Cadine Strada Gardesana,,46.088631,11.065015,10110,1
11,28205x,Cadine Strada Gardesana,,46.088730,11.064506,10110,1
12,22110c,Canova Paludi,,46.099171,11.109311,10110,1
13,22015x,Gardolo "Materna Paludi",,46.103847,11.108231,10110,2
14,21220-,Centro Commerciale,,46.091584,11.105649,10110,
15,21105z,Asiago S.Bartolameo,,46.047972,11.137453,10110,1
17,24015x,Cognola "Toresela",,46.078904,11.153469,10110,2
18,24015z,Cognola "Toresela",,46.078864,11.153925,10110,2
19,24025x,Cognola Bivio Civezzano,,46.080614,11.158416,10110,2
20,24025z,Cognola Bivio Civezzano,,46.080472,11.158399,10110,2
21,24005c,Cognola "Centro Civico",,46.076473,11.141510,10110,1
22,24030z,Cognola Grezoni,,46.075912,11.146830,10110,2
23,24030x,Cognola Grezoni,,46.076012,11.146610,10110,2
24,24105z,San Vito,,46.075332,11.139030,10110,1
25,24035x,Cognola S.Vito,,46.075697,11.140793,10110,2
26,24035z,Cognola S.Vito,,46.075623,11.141782,10110,2
27,24105x,San Vito,,46.075434,11.138830,10110,1
28,24010z,Cognola "Scuole",,46.075699,11.143988,10110,2
29,24010x,Cognola "Scuole",,46.075854,11.144058,10110,2
30,24020z,Cognola Alla Veduta "Roza",,46.077564,11.151099,10110,1
31,24020x,Cognola Alla Veduta "Roza",,46.078008,11.151428,10110,2
32,21180z,Brescia "Villa Salvotti",,46.076123,11.101180,10110,2
37,21270z,Degli Alpini Oberziner,,46.079103,11.118140,10110,2
38,23105c,Cortesano,,46.124481,11.133815,10110,
39,23420z,Vigo Meano Alle Gorghe,,46.129890,11.134567,10110,1
40,23420x,Vigo Meano Alle Gorghe,,46.129522,11.134676,10110,2
43,28050x,Forte Bus De Vela,,46.085330,11.069655,10110,
