route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
543,0000000022022091220230609,0003789482022091220230609,Lavis Rosmini Segantini,0,D753_T1701a_Andata_sub2,1
543,0000000032022091220230609,0003789492022091220230609,Lavis Rosmini Segantini,0,D753_T1701a_Andata_sub2,1
400,0000000022022091220230609,0003789502022091220230609,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000022022091220230609,0003789512022091220230609,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
400,0000000022022091220230609,0003789522022091220230609,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
406,0000000022022091220230609,0003789532022091220230609,Villamontagna P.Predaroi,0,D680_T0901b_Andata_PRINCIPALE_sub1,1
406,0000000022022091220230609,0003789542022091220230609,Villamontagna P.Predaroi,0,D680_T0901b_Andata_PRINCIPALE_sub1,1
406,0000000022022091220230609,0003789552022091220230609,Piazza Dante "Dogana",1,D681_T0902b_Ritorno_PRINCIPALE_sub1,1
539,0000000032022091220230609,0003789562022091220230609,Piazza Dante "Pal. Regione",1,D164_F0410_Ritorno_sub1,1
539,0000000102022091220230609,0003789572022091220230609,Bettini "Madonna Bianca",0,D156_F0405_Andata_sub1,1
406,0000000032022091220230609,0003789582022091220230609,Villamontagna P.Predaroi,0,D680_T0901b_Andata_PRINCIPALE_sub1,1
400,0000000022022091220230609,0003789592022091220230609,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
406,0000000032022091220230609,0003789602022091220230609,Piazza Dante "Dogana",1,D683_T0922_Ritorno_sub1,1
404,0000000032022091220230609,0003789612022091220230609,Verona "Palazzo Stella",0,D661_T0867_Andata_sub2,1
408,0000000102022091220230609,0003789622022091220230609,Piazza Dante "Dogana",1,D697_T1032_Ritorno_sub2,1
400,0000000022022091220230609,0003789632022091220230609,Piazza Dante "Dogana",1,D170_F0512_Ritorno_sub1,1
400,0000000022022091220230609,0003789642022091220230609,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
