WKT;id;impianto;ubicazione;comcat;gestione;disciplina;strutture;tipologia;management;discipline;facilities;typology;dettagli;fumetto
"POINT (664758.282894493197091 5101773.580479960888624)";2;BOCCIODROMO COMUNALE;"VIA FERMI, 35";TRENTO;UFFICIO ISTRUZIONE E SPORT;BOCCE;;BOCCIODROMO O CAMPO BOCCE;MUNICIPALITY;BOWLS;;BOWLING RINK or BOWLING GREEN;2;"BOCCIODROMO COMUNALE;-BOCCE"
"POINT (664194.26904426375404 5101119.452879699878395)";21;BRIDGE CLUB;VIA FERSINA;TRENTO;ASSOCIAZIONI SPORTIVE;BRIDGE;;BRIDGE CLUB;SPORTS CLUB;BRIDGE;;BRIDGE CLUB;21;"BRIDGE CLUB;-BRIDGE"
"POINT (665073.225005401996896 5105893.23572754021734)";5;CENTRO SPORTIVO MARTIGNANO;"VIA PRADISCOLA, 5";COGNOLA;ASSOCIAZIONI SPORTIVE;"TENNIS, CALCIO A 5";TENNIS;CENTRO SPORTIVO;SPORTS CLUB;TENNIS;TENNIS COURTS;TENNIS COURTS;5;"CENTRO SPORTIVO MARTIGNANO;-TENNIS, CALCIO A 5"
"POINT (664204.397137703723274 5100964.868944912217557)";28;CAMPO BASEBALL;"VIA FERSINA, 17";TRENTO;A.S.I.S.;"BASEBALL, CRICKET";CAMPO DA BASEBALL E SOFTBALL;CAMPO SPORTIVO;A.S.I.S.;"BASEBALL, CRICKET";BASEBALL & SOFTBALL FIELD;SPORTS FIELD;;"CAMPO BASEBALL;-BASEBALL, CRICKET"
"POINT (663533.310927481506951 5101828.334974465891719)";47;CAMPO SPORTIVO TRENTINELLO;"VIA DELLE GHIAIE, 60A";TRENTO;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO TRENTINELLO;-CALCIO"
"POINT (663567.709581381874159 5101984.269554998725653)";49;CAMPO SPORTIVO TALAMO;"VIA DELLE GHIAIE, 60";TRENTO;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO TALAMO;-CALCIO"
"POINT (663620.451291464734823 5101865.024825938045979)";48;CAMPO SPORTIVO SOFTBALL;"VIA DELLE GHIAIE, 60A";TRENTO;A.S.I.S.;SOFTBALL;CAMPO SOFTBALL;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;SOFTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO SOFTBALL;-SOFTBALL"
"POINT (663694.98172986949794 5102205.558436716906726)";46;CAMPO SPORTIVO ORIONE;"VIA DELLE GHIAIE, 46";TRENTO;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO ORIONE;-CALCIO"
"POINT (666189.872772832051851 5104503.60525318980217)";38;CAMPO SPORTIVO COGNOLA ARGENTARIO;"VIA PONTE ALTO, 79";COGNOLA;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO COGNOLA ARGENTARIO;-CALCIO"
"POINT (665046.260554891312495 5106006.153399344533682)";44;CAMPO SPORTIVO MARTIGNANO;VIA DELL'ALBERO;COGNOLA;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO MARTIGNANO;-CALCIO"
"POINT (665618.410230248584412 5104952.759743430651724)";18;CAMPO DA CALCIO MARNIGHE;LOC. MARNIGHE;COGNOLA;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;SPORTS CLUB;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO DA CALCIO MARNIGHE;-CALCIO"
"POINT (663820.759969263453968 5106550.382459566928446)";15;CAMPO DA CALCIO CENTOCHIAVI;VIA LUNELLI;TRENTO;ASSOCIAZIONI SPORTIVE;CALCETTO;CAMPO CALCIO;CAMPO SPORTIVO;SPORTS CLUB;5X5 SOCCER;FOOTBALL FIELD;SPORTS FIELD;15;"CAMPO DA CALCIO CENTOCHIAVI;-CALCETTO"
"POINT (665024.355343299917877 5101022.387389784678817)";12;CAMPO DA CALCIO MAN MALPENSADA;"VIA BETTINI, 13";TRENTO;ASSOCIAZIONI SPORTIVE;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;SPORTS CLUB;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;12;"CAMPO DA CALCIO MAN MALPENSADA;-CALCIO"
"POINT (666135.22019491775427 5098185.890557575970888)";19;"CENTRO DI EQUITAZIONE ""LA ROCCIA""";LOC. PIANIZZA;VILLAZZANO;ASSOCIAZIONI SPORTIVE;SPORT EQUESTRI;;MANEGGIO;SPORTS CLUB;EQUESTRIAN;RACECOURSE;RIDING TRACK;19;"CENTRO DI EQUITAZIONE ""LA ROCCIA"";-SPORT EQUESTRI"
"POINT (663090.267998218769208 5107234.171443419530988)";9;BOCCIODROMO IN LOC. CANOVA;"VIA CANOVA, 34";GARDOLO;ASSOCIAZIONI SPORTIVE;BOCCE;;BOCCIODROMO O CAMPO BOCCE;SPORTS CLUB;BOWLS;;BOWLING RINK or BOWLING GREEN;9;"BOCCIODROMO IN LOC. CANOVA;-BOCCE"
"POINT (665862.780308114713989 5102010.141100818291306)";7;AREA SPORTIVA IN LOC. VALNIGRA;"VIA VALNIGRA, 69";TRENTO;ASSOCIAZIONI SPORTIVE;"CALCIO, CALCIO A 5, BOCCE, PALLAVOLO, BEACH VOLLEY, SKATEBOARD";"CAMPO CALCIO, CAMPO POLIFUNZIONALE, BOCCIODROMO";CENTRO SPORTIVO;SPORTS CLUB;"FOOTBALL, 5X5 SOCCER, BOWLS, VOLLEYBALL";"FOOTBALL FIELD, MULTI-PURPOSE, BOWLING RINK";SPORTS CENTRE;7;"AREA SPORTIVA IN LOC. VALNIGRA;-CALCIO, CALCIO A 5, BOCCE, PALLAVOLO"
"POINT (664096.650338590145111 5101157.416616826318204)";3;CENTRO SPORTIVO A.T.A. BATTISTI;VIA FERSINA;TRENTO;ASSOCIAZIONI SPORTIVE;"TENNIS, PESI";"TENNIS, SALA PESI";CENTRO O CAMPO TENNIS;SPORTS CLUB;TENNIS;"TENNIS CORURTS, GYMNASIUM";TENNIS COURTS;3;"CENTRO SPORTIVO A.T.A. BATTISTI;-TENNIS"
"POINT (664242.23286747885868 5100790.817819924093783)";30;PALAZZETTO DELLO SPORT;"VIA FERSINA, 11";TRENTO;A.S.I.S.;"PALLAVOLO, BASKET, CALCIO A 5, PALLAMANO, ARTI MARZIALI, DANZA SPORTIVA, TENNIS TAVOLO, TIRO CON L'ARCO, TORBALL,  GINNASTICA ARTISTICA, ATTIVITA' MOTORIE, SALA PESI";"PALAZZETTO, SALA GINNICA, SALA PESI, SALA SCHERMA";PALAZZETTO DELLO SPORT;A.S.I.S.;"FENCING, VOLLEYBALL, BASKETBALL, 5X5 SOCCER, HANDBALL, ARTISTIC GYMNASTICS, WEIGHTLIFTING";"MULTI-PURPOSE MAIN HALL, GYMNASIUM, WEIGTH ROOM, FENCING HALL";INDOOR STADIUM;;"PALAZZETTO DELLO SPORT;-SCHERMA, PALLAVOLO, BASKET, CALCIO A 5, PALLAMANO, GINNASTICA ARTISTICA, PESI"
"POINT (659922.677850944572128 5105318.822284445166588)";14;POLIGONO DI TIRO LOC. SORAVAL DI CADINE;LOC. SORAVAL;CADINE;ASSOCIAZIONI SPORTIVE;TIRO A SEGNO;POLIGONO;POLIGONO DI TIRO;SPORTS CLUB;SHOOTING;SHOOTING RANGE;SHOOTING RANGE;14;"POLIGONO DI TIRO LOC. SORAVAL DI CADINE;-TIRO A SEGNO"
"POINT (658146.800074663944542 5105932.750336785800755)";16;CENTRO SPORTIVO TRILACUM;STRADA DI SO CA;VIGOLO BASELGA;ASSOCIAZIONI SPORTIVE;"CALCIO, CICLISMO, CALCIO A 5, BASKET, PALLAVOLO, ATLETICA LEGGERA, RUGBY";"CAMPO CALCIO, PALESTRA, ANELLO CICLISMO, PISTA ATLETICA LEGGERA";CENTRO SPORTIVO;SPORTS CLUB;"FOOTBALL, TRACK-RACING, 5X5 SOCCER, BASKETBALL, VOLLEYBALL, ATHLETICS, RUGBY";"FOOTBALL FIELD, MULTI-PURPOSE HALL, CYCLE TRACK, ATHLETICS TRACK";SPORTS CENTRE;16;"CENTRO SPORTIVO TRILACUM;-CALCIO, CICLISMO, CALCIO A 5, BASKET, PALLAVOLO, ATLETICA LEGGERA, RUGBY"
