ID,Name,Address,Municipality,Gestione,Telephone,Email,Web,Type,
,Centro tennis di via Fersina,"VIA FERSINA, 21",TRENTO,"ATA Battisti - Associazione Trentina Atletica ""Cesare Battisti""",0461 921515,,http://tennis.atatrento.it/portali.asp,Campo da tennis,
,Blm Group Arena - Palestre,"VIA FERSINA 11, ",TRENTO,,0461 959812,,www.asis.trento.it,Impianto sportivo multidisciplinare,
,Centro sci da fondo Viote Monte Bondone,STRADA DELLE CASERME 3-5-7-9  MONTE BONDONE,TRENTO,,0461 948105,,http://www.asis.trento.it/it/impianti/centro-sci-da-fondo-viote-monte-bondone_9378_s/,Impianto sportivo multidisciplinare,
,Impianto sportivo Ito del Favero (Madonna Bianca) - Piscine,"VIA BETTINI 7, ",TRENTO,,"0461 959812, Cassa piscine Ito Del Favero 0461.390785",,http://www.asis.trento.it/it/impianti/centro-sportivo-ito-del-favero-madonna-bianca_9376_s/,Piscina,
,Impianto sportivo Ito del Favero (Madonna Bianca) - Palestre,"VIA BETTINI 7, ",TRENTO,,0461 959812,,www.asis.trento.it/it/impianti/centro-sportivo-ito-del-favero-madonna-bianca,Impianto sportivo multidisciplinare,
,Centro sportivo comunale sito in via Ponte Alto a Cognola,"VIA PONTE ALTO, 79",TRENTO,G.S. Argentario ASD,389 4794559,,http://www.gsargentario.it/it/,Impianto sportivo multidisciplinare,
,Bocciodromo comunale di via Canova a Trento,"VIA CANOVA, 34",TRENTO,,0461/961292,,,Bocciodromo,
,Bocciodromo comunale sito in via Fermi a Trento,"VIA FERMI, 35",TRENTO,Bocciofila Trento Sud,,,,Bocciodromo,
,Palaghiaccio,"VIA FERSINA 15, ",TRENTO,,"0461 959812, cassa PalaGhiaccio  0461 391854",,http://www.asis.trento.it/it/impianti/palaghiaccio_9377_s/,Impianto sportivo multidisciplinare,
,Centro di equitazione comunale,LOCALITÀ PIANIZZA DI VILLAZZANO,TRENTO,Circolo Ippico La Roccia,348 2977880,,https://sites.google.com/site/scuolaequitazionelaroccia/,,Centro di equitazione
,Campo scuola atletica leggera C. Covi e E. Postal,"PIAZZALE CAMILLO RUSCONI,5 ",TRENTO,,0461 959812,,www.asis.trento.it,Impianto sportivo multidisciplinare,
,Impianto sportivo G. Manazzon - Palestre,"VIA FOGAZZARO 4, ",TRENTO,,0461 959812,,http://www.asis.trento.it/it/impianti/centro-sportivo-g--manazzon_9369_s/,Impianto sportivo multidisciplinare,
,Stadio Briamasco,"VIA R. DA SANSEVERINO, 41",TRENTO,,0461 959812,,http://www.asis.trento.it/it/impianti/stadio-briamasco_9379_s/,Campo da calcio,
,Centro sportivo Trento Nord - piscine comunali,"VIA 4 NOVEMBRE 23/4, ",TRENTO,,"0461 959812, Cassa piscine Gardolo 0461.956118",,http://www.asis.trento.it/it/impianti/centro-sportivo-trento-nord_9368_s/,Piscina,
,Blm Group Arena - Palazzetto,"VIA FERSINA 11, ",TRENTO,,0461 959812,,http://www.asis.trento.it/it/impianti/palatrento_9419_s/,Impianto sportivo multidisciplinare,
,Poligono di tiro,LOCALITÀ SORAVAL DI CADINE,TRENTO,Tiro a Segno Nazionale,0461 990149,,,Poligono di tiro,
,Centro sportivo Trento Nord - palazzetto,"VIA IV NOVEMBRE 23/4,",TRENTO,,0461 959812,,http://www.asis.trento.it/it/impianti/centro-sportivo-trento-nord_9368_s/,Impianto sportivo multidisciplinare,
,Impianto sportivo G. Manazzon (ex Fogazzaro) - Piscine,"VIA FOGAZZARO 4, ",TRENTO,,"0461 959812, Cassa Piscine  G. Manazzon 0461.924248",,http://www.asis.trento.it/it/impianti/centro-sportivo-g--manazzon_9369_s/,Piscina,
,Campo da calcio Man Malpensada,"VIA BETTINI, 13",TRENTO,Associazione Calcio Femminile Trento Clarentia,0461 913467,,,Campo da calcio,
,Campo da calcio in località Solteri,VIA LUNELLI LOCALITÀ SOLTERI - TRENTO,TRENTO,ASD Solteri San Giorgio,,,http://www.solterisangiorgio.it/ ,Campo da calcio,
,Centro tennis di piazza Venezia,PIAZZA VENEZIA 41/1,TRENTO,Circolo Tennis Trento - Scuola Federale di Tennis,0461 238932,,,Campo da tennis,
,"Centro sportivo ""Don Onorio Spada""",VIA VALNIGRA - VILLAZZANO,TRENTO,,331 7610492,,,Impianto sportivo multidisciplinare,
,Centro tennis sito in località Pradiscola a Martignano,VIA PRADISCOLA N. 5 - MARTIGNANO,TRENTO,Circolo Tennis Calisio,0461 820040,,,Campo da tennis,
,Campo da calcio in località Sardagna,VIA ALLA CÉSA VÈCIA - SARDAGNA - TRENTO,TRENTO,Unione Sportiva Sardagna - Associazione sportiva dilettantistica,340 5223235,,,Campo da calcio,
