ID,Name,Address,Municipality,CAP,OpeningHours,Telephone,Type
200,Aquila Basket Trento 2013 S.r.l.," VIA GUARDINI ROMANO, 42",TRENTO,38121,{},0461 439684,Centri e corsi sportivi
201,Palaghiaccio Palafolgaria," VIA NAZIONI UNITE, 46",FOLGARIA,38064,{},0464 720337,Centri e corsi sportivi
202,Break Point Golf Club A.S.D.," LOCALITÀ MASO GRILLO, 4",PERGINE,38057,"{'Monday': '08:30 - 21:00', 'Tuesday': '08:30 - 21:00', 'Wednesday': '08:30 - 21:00', 'Thursday': '08:30 - 21:00', 'Friday': '08:30 - 21:00', 'Saturday': '08:30 - 21:00', 'Sunday': '08:30 - 21:00'}",347 4647351,Centri e corsi sportivi
203,Aquila Basket Trento 2013 S.r.l.," VIALE OLIVETTI ADRIANO, 4",TRENTO,38100,{},0461 525310,Centri e corsi sportivi
204,Navarini," VIA FILARI LONGHI, 2/A",TRENTO,38123,"{'Monday': '00:00 - 24:00', 'Tuesday': '00:00 - 24:00', 'Wednesday': '00:00 - 24:00', 'Thursday': '00:00 - 24:00', 'Friday': '00:00 - 24:00', 'Saturday': '00:00 - 24:00', 'Sunday': '00:00 - 24:00'}",0461 959812,Centri e corsi sportivi
19,Circolo Ippico La Roccia," LOCALITÀ PIANIZA, 33",TRENTO,38100,"{'Monday': '09:00 - 19:00', 'Tuesday': '09:00 - 19:00', 'Wednesday': '09:00 - 19:00', 'Thursday': '09:00 - 19:00', 'Friday': '09:00 - 19:00', 'Saturday': '09:00 - 19:00', 'Sunday': '09:00 - 19:00'}",0461 913143,Centri e corsi sportivi
10,Circolo Tennis," PIAZZA VENEZIA, 41/1",TRENTO,38122,"{'Monday': '09:00 - 23:00', 'Tuesday': '09:00 - 23:00', 'Wednesday': '09:00 - 23:00', 'Thursday': '09:00 - 23:00', 'Friday': '09:00 - 23:00', 'Saturday': '09:00 - 23:00', 'Sunday': '09:00 - 19:00'}",0461 238932,Centri e corsi sportivi
207,Centro Universitario Sportivo Trento Ass.Sp.Dilettantistica," VIA DELLE REGOLE, 101",MATTARELLO,38123,"{'Monday': '09:00 - 23:00', 'Tuesday': '09:00 - 23:00', 'Wednesday': '09:00 - 23:00', 'Thursday': '09:00 - 23:00', 'Friday': '09:00 - 23:00', 'Saturday': '09:00 - 18:00', 'Sunday': '09:00 - 13:00'}",0461 944356,Centri e corsi sportivi
208,Centro Pilates e Gyrotonic," PIAZZA DEL DUOMO, 30",TRENTO,38122,"{'Monday': '06:30 - 21:30', 'Tuesday': '06:30 - 21:30', 'Wednesday': '06:30 - 21:30', 'Thursday': '06:30 - 21:30', 'Friday': '06:30 - 21:30', 'Saturday': '06:30 - 21:30', 'Sunday': '06:30 - 21:30'}",339 8683083,Centri e corsi sportivi
209,Campo sportivo San Bartolomeo, VIA DEGLI OLMI,TRENTO,38123,{},0461 992990,Centri e corsi sportivi
210,Centro Sportivo Di Trilacum," VIA 12 SETTEMBRE, 6",TRENTO,38123,"{'Monday': '08:00 - 20:00', 'Tuesday': '08:00 - 20:00', 'Wednesday': '08:00 - 20:00', 'Thursday': '08:00 - 20:00', 'Friday': '08:00 - 20:00', 'Saturday': '08:00 - 20:00', 'Sunday': '08:00 - 20:00'}",0461 866471,Centri e corsi sportivi
211,Campo Sportivo Cristo Re," VIA LAVISOTTO, 41",TRENTO,38121,{},06 992990,Centri e corsi sportivi
212,Studio Tecnico Associato Gasperotti di Ing. Dott. Gasperotti Luca ed Ing. Dott. Gasperotti Giorgio," SALITA S. AGATA, 23",POVO,38123,{},0461 811409,Impianti sportivi e ricreativi - attrezzature e costruzione
213,Associazione Sportiva Sportivando," VIA BRUNNER GIUSEPPE, 9",TRENTO,38121,{},0461 091706,Centri e corsi sportivi
214,Aquila Basket Trento 2013 S.r.l.," VIA ZARA, 14",TRENTO,38122,{},0461 262253,Centri e corsi sportivi
23,A.C. Trento Sportiva Dilettantistica," VIA ROBERTO DA SANSEVERINO, 41",TRENTO,38123,{},0461 263470,Centri e corsi sportivi
216,Woody Valley S.r.l., LOCALITA' SPINI,GARDOLO,38121,{},0461 950811,Centri e corsi sportivi
217,Aquila Basket Trento 2013 S.r.l.," VIA CHINI EUSEBIO, 59",TRENTO,38123,{},0461 916579,Centri e corsi sportivi
218,Maestri di Sci e Snowboard Cristallo A.T.P.," LOCALITA' VASON, 110",MONTE,38080,{},380 6328814,Centri e corsi sportivi
73,"Gym ""G. Pascoli"""," VIA ZNOJMO, 24",TRENTO,38100,{},0461 992990,Centri e corsi sportivi
220,Fitness Sport Club," 22, VIA DELLE GHIAIE",TRENTO,38122,{},0461 92444,centri e corsi sportivi
221,Palestra Povo," VIA DEI MASI, 6",TRENTO,38100,{},0461 959812,Centri e corsi sportivi
222,S.S. Buonconsiglio Nuoto," VIA FOGAZZARO ANTONIO, 4",TRENTO,38122,{},0461 910464,Centri e corsi sportivi
223,Associazione Polisportiva Dilettantistica Kosmos Rovereto," VIA DELLA ROGGIA, 45",ROVERETO,38068,{},0464 942281,Centri e corsi sportivi
224,Ice Rink Pine' S.r.l.," VIA DELLO VIA DELLO STADIO, 17",BASELGA,38042,{},0461 554167,Centri e corsi sportivi
25,S.S. Buonconsiglio Nuoto," VIA IV NOVEMBRE, 23",GARDOLO,38121,{},0461 910464,Centri e corsi sportivi
