Name,Address,Municipality,Sport,Telephone,Email,Web
360 Dance Connection 360 ASD,"VIA LUIGI EINAUDI, 10",TRENTO,Danza,,,
A.S. Scuderia Trentina,VIA RIENZA 12/D,TRENTO,,,,
A.P.S. Trento Subbuteo,"VIALE TRIESTE, 41",TRENTO,Subbuteo,,,
A.S.D. Arca di Noè,VIA CARD. C. MADRUZZO 31,TRENTO,,,,
Asd -  Amici delle arti marziali,,TRENTO,Arti marziali,,,
A.S.D. Minibasket Trento,VIA A. FOGAZZARO 29,TRENTO,Pallacanestro,,,
A.S.D. Judo Team Gardolo e Cognola,"VIA DOSS CASTION, 31",TRENTO,Arti marziali,,,
A.P.D. REN e centro Qwan Ki Do Shan Ying,"LUNGADIGE G. LEOPARDI, 99",TRENTO,"Intrattenimento - tempo libero,  Arti marziali, Camminata nordica",3298355365,,
ASD Camminare in Trentino,"VIA DI ZELL, 7",TRENTO,Camminata nordica,340 0709310,,
A.S.D. Il Quinto Sigillo,VIA AL CASTEL DI S. ROCCO 17,TRENTO,Discipline orientali,,,
A.D. Arcobaleno Basket,VIA 4 NOVEMBRE 78/1,TRENTO,Pallacanestro,,,
A. S. D. Club Ciclistico  Forti e Veloci,VIA DEL TRAVAI 72,TRENTO,Ciclismo,,,
A.S.D. Hockey Club Trento,"VIA FERSINA, 15",TRENTO,Hockey e pattinaggio,,,
A.S.D. Centro Studi Orientali,"VIALE VERONA, 110",TRENTO,"Arti marziali, Discipline orientali",,,
A.S.D. Buonconsiglio Nuoto - Trento,VIA 4 NOVEMBRE 23/4,TRENTO,Nuoto,,,
Rari Nantes Trento,VIA A. BETTINI 7/A,TRENTO,Nuoto,,,
A.S.D. Budō no michi,VIA DEL LAVACHEL-VANEZE 25/D,TRENTO,"Intrattenimento - tempo libero,  Arti marziali",3515221532,,
Sci Club Agonistica Trentina (ex Ski team podio),VIA CARLO E VALERIA JULG 5,TRENTO,Discipline alpine,,,
Sci Club Marzola A.S.D.,V. DON T.DALLAFIOR ZONA 1 7/B,TRENTO,Discipline alpine,,,
Rugby Trento A.S.D.,"VIA FERSINA, 19",TRENTO,Rugby,,,
Sci Club Città di Trento A.S.D.,"CORSO BUONARROTI, 10/D",TRENTO,Discipline alpine,,,
Nuovo Dojo Arti Marziali Trento A.S.D.,"VIA DELLE GHIAIE, 22/3",TRENTO,Arti marziali,0461 1483472,,
Pallacanestro Villazzano A.D.,"VIA IV NOVEMBRE, 78/1",TRENTO,Pallacanestro,,,
Marathon Club Trento,VIA G. GALILEI 10,TRENTO,Atletica leggera,,,
Gruppo Sportivo Marzola A.S.D.,V. DON T.DALLAFIOR ZONA 1 7/B,TRENTO,Pallavolo,,,
Karate Trento A.S.D.,VIA DI COLTURA 158,TRENTO,Arti marziali,,,
Gruppo Sportivo Sordi Trentini - A.S.D.,"VIA PIAVE , 108",TRENTO,,,,
JUDO KYOIKU TRENTO A.S.D.,VIA ALLE PORTE,TRENTO,Arti marziali,,,
Gruppo Sportivo Dilettantistico Equitazione Trento,VIA DI MADONNA BIANCA 28,TRENTO,Equitazione,,,
Gruppo Sportivo Belvedere A. S. D.,VIA SANTA MARINA 46/2,TRENTO,Pallacanestro,,,
Gruppo Sportivo Canova - bocciofila,VIA DELLA CANOVA 34,TRENTO,Bocce,,,
G.S. Argentario ASD,VIA PONTE ALTO 79,TRENTO,Tennis e tennis tavolo,,,
Bondone Pallamano ASD,VIA DELLA MALPENSADA 84,TRENTO,Pallamano,,,
Bocciofila Trento Sud,VIA E. FERMI 35,TRENTO,Bocce,,,
"ATA Battisti - Associazione Trentina Atletica ""Cesare Battisti""",VIA FERSINA 21,TRENTO,"Atletica leggera, Discipline alpine, Pallavolo, Tennis e tennis tavolo",,,
Associazione Sportiva Dilettantistica Trofeo Topolino Sci,STRADA DELLE TABARELLE 198,TRENTO,Discipline alpine,,,
Associazione Sportiva Dilettantistica Sci Nautico Trento,VIA SALE' 113,TRENTO,Discipline nautiche,,,
Associazione Polisportiva Dilettantistica Il Sole all'Orizzonte,"VIA ALLA PELEGRINA, 39",TRENTO,Arti marziali,,,
Associazione Sportiva Dilettantistica Black Angels,VIA DELLA CROCE 2,TRENTO,Pallavolo,,,
Associazione Maestri di sci e snowboard Cristallo A.t.p.,"STRADA DI VASON, 110",TRENTO,Discipline alpine,380 6328814,,
Associazione Dilettantistica Budo Kai Punto Zero,VIA B. BRIAMASCO 34,TRENTO,Arti marziali,,,
Associazione Calcio Femminile Trento Clarentia,VIA A. BETTINI 13,TRENTO,Calcio,,,
Ashtanga Yoga Trento a.s.d.,"VIA CESARE ABBA, 6",TRENTO,Discipline orientali,,,
ASD Enjoy Outdoor,LOCALITÀ LE FOSSE N. 1/I,TRENTO,"Camminata nordica, Ciclismo, Orienteering",,,
ASD Solteri San Giorgio,VIA DEI SOLTERI 66,TRENTO,"Calcio, Pallavolo",,,
ASD CSI Trento Nuoto,"VIA FOGAZZARO, 4",TRENTO,Nuoto,,,
Circolo Tennis Trento - Scuola Federale di Tennis,PIAZZA VENEZIA,TRENTO,Tennis e tennis tavolo,,,
ASD Virtus Trento,VIA DEL MASO SMALZ 11,TRENTO,Calcio,,,
ASD Gruppo Sportivo Trilacum,STRADA DI SO CA 10,TRENTO,"Atletica leggera, Calcio",,,
Circolo Tennis Calisio,VIA PRADISCOLA 20,TRENTO,Tennis e tennis tavolo,,,
Associazione Dilettantistica Trento Orienteering,LOC. I GREZZI 25,TRENTO,Orienteering,,,
Centro Universitario Sportivo Trento A.S.D. - C.U.S. Trento A.S.D.,VIA V. INAMA 1,TRENTO,,,,
Circolo Ippico La Roccia,VIA PIANIZZA 33,TRENTO,Equitazione,,,
Associazione House of Boxing,VIA ALLE 7 FONTANE 37,TRENTO,,3921321977,,
Arts & Gym A.s.d.,"STRADA AI PALAZZI, 41",TRENTO,Ginnastica,,,
Argentario Calisio Volley ASD,"VIA CAVALIERI, 3",TRENTO,Pallavolo,348 4429124,,
Aquila Basket Trento 2013 S.d.r.l.,VIA A. FOGAZZARO 29,TRENTO,Pallacanestro,,,
ACSD Le tre distanze,VIA CAIO VALERIO MARIANO 4,TRENTO,Arti marziali,,,
A.S.D. Sportivando,VIA G. BRUNNER 9,TRENTO,Tennis e tennis tavolo,,,
Amatori Hockey Trento A.S.D.,VIA PER BELVEDERE 44,TRENTO,Hockey e pattinaggio,,,
